domain_name,label,Dimension 1,Dimension 2
amdkmjbnisigry.com,0,-28.75278,19.84802
zdyoinalcentricem.com,0,-13.771545,25.84962
lswwmriyxwwx.com,0,-13.121401,25.456152
oqcyllaabettingk.com,0,10.887638,17.558786
dzeoorcajanunal.com,0,-13.32438,26.585022
dxiwenhancedysb.com,0,-14.620106,25.390926
akriellefrictionlessv.com,0,-23.435692,16.444965
rvgtpgjqis.biz,0,-12.670691,24.913565
lrhvancorml.com,0,12.971525,14.232748
kqf7lsc27cv1izcuh7labdd1.org,0,-18.685055,-9.948693
15no4d51aqilwr1igmqsstcgta0.com,0,-21.137337,4.2556953
utnmykocpciiuilys.com,0,-14.362971,26.155006
rzazenhancedysb.com,0,-13.70825,25.123444
lfeojsuhjtgcotit.biz,0,-16.318924,10.764113
qafdellefrictionlessv.com,0,12.971971,14.231996
jztzrasildeafeninguvuc.com,0,-15.04642,29.211185
1ge8j4f1829qqx1tbaka21h4cml4.org,0,26.208975,8.292569
pdfarasildeafeninguvuc.com,0,-14.270392,26.261469
hnwrrqvlessjefxl.biz,0,-13.593425,24.46292
28hockeyacademy.com,0,-29.17687,19.013155
stickmarch.net,0,19.23076,9.370511
smhvgyhs.net,0,-8.929171,26.48401
anuiznlzmtyqbahnvnyvp.biz,0,-8.92954,26.483915
wtyywjoerhqqqypl.com,0,8.838929,-7.3815107
iklijvfbrqpnwpq.info,0,-28.507462,-39.839462
drxvqmivpsbqrmwdjxwk.me,0,-10.349781,-8.507348
nerkhechmqxigcdqt.de,0,-26.724047,12.95537
1dlsljs1azg8wzwomuai3trt84.biz,0,-11.045914,24.308735
aexfqyjlwcqbiffjcdsqy.ug,0,-11.04548,24.309109
akdigitalservices.com,0,-18.008335,22.177572
oscfayu.cm,0,-18.008335,22.177572
wenlsemitismgavenuteq.com,0,-10.91736,11.632371
rpmmardenslavetusul.com,0,0.89220494,2.1738155
fdossatformalisticirekb.com,0,-7.8255086,-9.002798
xtzsrasildeafeninguvuc.com,0,-12.844499,24.704021
buildingsandpools.com,0,-29.619629,-38.302742
1yee1rg15ad5d2b2mgdpaimg0d.biz,0,-8.929171,26.48401
pfdlpartbulkyf.com,0,-14.604856,25.562376
solucaoassessoriaservicos.com,0,-14.969474,-1.0044447
taviex.com,0,-14.363164,24.804893
qvoucu.com,0,-13.4647665,25.152159
ipdphpbhn.xyz,0,-26.39833,9.890869
bsnutqpalanivg.ru,0,-13.66701,26.56974
obwufvbvmucb.net,0,-11.468466,10.094669
ekmufordlinnetavox.com,0,-13.3752165,25.185482
ldrworcajanunal.com,0,-14.536021,25.02196
xbqusemitismgavenuteq.com,0,-13.516073,24.48893
prassqautor.in,0,-14.111483,24.64659
kluvxghyniczgdatkbxhsncnt.info,0,-24.02078,8.315534
acdavytfinvywhkxco.com,0,1.9269934,0.022367552
qrqvjlfskhv.info,0,-13.832233,26.509518
pbdviologistbikerepil.com,0,-13.456609,25.918177
zsmhukjusx.biz,0,-12.969441,26.452202
leblogdubilandecompetences.com,0,-13.772084,25.877861
bodryztg.biz,0,-13.317469,24.609722
qkegfolcbq.ru,0,-13.781421,25.36157
ivovgydgsthefhbgsnhasjapn.org,0,-29.17687,19.013155
rggzmmwhffbef.info,0,11.865912,11.933561
1wzw3f1kgibdxgpwt11xoy8ax.org,0,-12.940004,25.863594
q1y4zob46e5a1u1oibz1ylow6f.com,0,-32.123745,-49.890114
corinnenewton.ca,0,14.734181,16.871748
y3tizz1hvb125d5hzn9bskrau.org,0,-12.449116,25.949865
wauoorcajanunal.com,0,-14.020619,25.505356
tavmpncwnyeauhsov.com,0,-13.397325,26.6298
aypujdopx.com,0,-12.527856,25.354279
hbkbpartbulkyf.com,0,-13.170427,25.711138
waprod.com,0,-21.57831,-6.481972
